date,month,food_cpi_index
2024-01-01,2024 JAN,134.6
2024-02-01,2024 FEB,134.9
2024-03-01,2024 MAR,135.1
2024-04-01,2024 APR,135.6
2024-05-01,2024 MAY,135.2
2024-06-01,2024 JUN,135.5
2024-07-01,2024 JUL,135.5
2024-08-01,2024 AUG,135.8
2024-09-01,2024 SEP,136.3
2024-10-01,2024 OCT,136.5
2024-11-01,2024 NOV,137.1
2024-12-01,2024 DEC,137.8
2025-01-01,2025 JAN,139.0
2025-02-01,2025 FEB,139.3
2025-03-01,2025 MAR,139.2
2025-04-01,2025 APR,140.2
